6. Donkeys of all ages ____________________________________________,,,160.0,,161.0,,162.0,
a. Donkeys less than 3 years ____________________________________________,,,163.0,,164.0,,165.0,
b. Donkeys 3 years and older ____________________________________________,,,166.0,,167.0,,168.0,
1. Donkeys used for draft purposes _______________________________,,,169.0,,170.0,,171.0,
2. Donkeys for transportation ________________________________________,,,172.0,,173.0,,174.0,
3. Donkeys for other purposes ________________________________________,,,175.0,,176.0,,177.0,
Camels,,None,,Total,,Male,,Female
7. Camels of all ages ____________________________________________,,,178.0,,179.0,,180.0,
a. Camels less than 4 years ____________________________________________,,,181.0,,182.0,,183.0,
b. Camels 4 years and older ____________________________________________,,,184.0,,185.0,,186.0,
1. Camels for slaughter ________________________________________,,,187.0,,188.0,,189.0,
2. Camels for draft purposes _________________________________________,,,190.0,,191.0,,192.0,
3. Camels for milk _______________________________________________,,,193.0,,209.0,,194.0,
4. Camels for transportation ________________________________________,,,195.0,,196.0,,197.0,
5. Camels for other purposes ________________________________________,,,198.0,,199.0,,200.0,
